City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
349,Alberton,CA,22.07,light rain,46.8168,-64.0654,La Petite France B&B
353,Binga,ZW,23.35,clear sky,-17.6203,27.3414,Lakeview Inn Binga
355,Guia De Isora,ES,21.51,clear sky,28.2115,-16.7795,La Vista Pension
359,Praia Da Vitoria,PT,24.14,few clouds,38.7333,-27.0667,Hotel Branco I
361,Port-Gentil,GA,24.98,broken clouds,-0.7193,8.7815,Fengshui Residence
366,Viseu,PT,20.2,clear sky,40.661,-7.9097,Montebelo Viseu Congress Hotel
367,Faya,SA,20.29,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
371,Horta,PT,23.8,few clouds,38.5333,-28.6333,Hotel do Canal | Horta - Faial
382,Hatta,IN,24.93,overcast clouds,24.1167,79.6,Agrawal Marriage Garden Bharat Tent House
394,Vangaindrano,MG,20.54,overcast clouds,-23.35,47.6,Hotel Fanilo
401,Kenitra,MA,22.42,broken clouds,34.261,-6.5802,Bienvenue chez vous
407,Sept-Iles,CA,21.29,scattered clouds,50.2001,-66.3821,Comfort Inn
408,Quelimane,MZ,22.97,clear sky,-17.8786,36.8883,Hotel Flamingo
418,Morondava,MG,22.63,clear sky,-20.2833,44.2833,La Case Bambou
419,Khandbari,NP,22.88,light rain,27.3747,87.2039,Sainik Hotel And Lodge
421,Novogornyy,RU,22.77,scattered clouds,55.63,60.7919,Na Sovetskoy
426,Santa Cruz Do Sul,BR,22.12,scattered clouds,-29.7175,-52.4258,Hotel Antonio's
430,Fatsa,TR,21.78,clear sky,41.0278,37.5014,Yalcin Resort Hotel
437,Saint-Francois,FR,20.1,clear sky,46.4154,3.9054,Manoir Du Bonheur
439,Meulaboh,ID,24.33,overcast clouds,4.1363,96.1285,Kost Pria
444,Boz,FR,20.75,clear sky,46.4071,4.9109,Le Jardin De La Reyssouze
452,Japura,ID,22.1,moderate rain,-0.3167,102.35,Rumah mbah Jamah
454,Issoire,FR,20.59,overcast clouds,45.55,3.25,ACE Hôtel Issoire
458,Pisco,PE,20.03,dust,-13.7,-76.2167,Hotel San Isidro Oficial
461,Privas,FR,21.58,clear sky,44.5833,4.5,"Domaine des loriots : chambres, cabanes et table d'hôtes"
464,Guarapuava,BR,24.17,overcast clouds,-25.3953,-51.4581,Küster Hotel | Guarapuava
467,Omboue,GA,24.73,broken clouds,-1.5746,9.2618,Hotel Olako
488,Cruzeiro Do Sul,BR,23.35,scattered clouds,-29.5128,-51.9853,Estrela Palace Hotel
489,Santa Elena,EC,23.75,broken clouds,-2.2333,-80.85,HOTEL CISNE II
491,Kitgum,UG,21.22,broken clouds,3.2783,32.8867,Jaflo Gardens Hotel
501,Inhambane,MZ,21.99,clear sky,-23.865,35.3833,Oceano
505,Karabuk,TR,20.81,clear sky,41.2049,32.6277,Elit Uzungol Hotel
508,Caravelas,BR,24.53,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
510,Rabo De Peixe,PT,22.73,broken clouds,37.8,-25.5833,Quinta das Giestas
515,Penzance,GB,20.56,clear sky,50.1186,-5.5371,Artist Residence Penzance
516,Kataysk,RU,22.57,few clouds,56.289,62.5841,Prival
520,Eregli,TR,21.52,clear sky,37.5133,34.0467,Hotel Fuat Bey
526,Rathkeale,IE,22.73,few clouds,52.5244,-8.9381,Rathkeale House Hotel
534,Liwale,TZ,21.97,scattered clouds,-9.7667,37.9333,Samoma lodge
538,Tambura,SS,21.08,broken clouds,5.6,27.4667,Rikito Lodge
539,Quatre Cocos,MU,21.06,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
